time,temperature,vibration,pressure,failure
2024-01-01 00:00:00,304.9671415301123,45.76240317977297,86.43010539025556,0
2024-01-01 01:00:00,298.6173569882882,45.46585891616146,93.89001073892695,0
2024-01-01 02:00:00,306.4768853810069,32.04356827369985,88.05237877909714,0
2024-01-01 03:00:00,315.2302985640803,46.69909808298563,102.2083609389224,0
2024-01-01 04:00:00,297.65846625276663,57.328290818217454,123.94357062923825,0
2024-01-01 05:00:00,297.6586304305082,37.25767880923205,84.5791568571759,0
2024-01-01 06:00:00,315.7921281550739,60.484826510505926,120.01640995536829,1
2024-01-01 07:00:00,307.6743472915291,54.87774821084338,84.36655855306225,0
2024-01-01 08:00:00,295.3052561406505,42.657666780289624,83.04745575006231,0
2024-01-01 09:00:00,305.4256004358596,48.584703626621526,116.37189236686427,0
2024-01-01 10:00:00,295.36582307187535,65.98321807641034,118.43872756015233,0
2024-01-01 11:00:00,295.3427024642974,57.33547813505866,117.02819873525308,0
2024-01-01 12:00:00,302.41962271566035,50.08783654898148,73.68405183563718,0
2024-01-01 13:00:00,280.86719755342205,47.623166830390154,90.68098043855899,0
2024-01-01 14:00:00,282.75082167486966,50.76609070451659,116.45977184006642,0
2024-01-01 15:00:00,294.37712470759027,44.88236442057696,100.83083681127789,0
2024-01-01 16:00:00,289.87168879665575,28.952504942809853,78.52614307605072,0
2024-01-01 17:00:00,303.1424733259527,70.42177910534731,109.16635878250884,0
2024-01-01 18:00:00,290.9197592447879,51.553249991994015,85.70385482017059,0
2024-01-01 19:00:00,285.8769629866471,53.981472651225374,135.89049696784423,1
2024-01-01 20:00:00,314.65648768921557,49.42092250123091,130.89682924836518,0
2024-01-01 21:00:00,297.74223699513465,42.64883199275412,112.08194852711135,0
2024-01-01 22:00:00,300.67528204687926,48.140755190512294,127.22013409539548,0
2024-01-01 23:00:00,285.7525181378654,34.006052378056886,101.29582700246762,0
2024-01-02 00:00:00,294.55617275474816,72.77086498053305,115.30874988750031,1
2024-01-02 01:00:00,301.10922589709867,37.654880015776044,129.5544059060415,0
2024-01-02 02:00:00,288.49006422577696,39.68033716152821,104.90997363588626,0
2024-01-02 03:00:00,303.75698018345673,45.597407956135996,94.89625656971432,0
2024-01-02 04:00:00,293.99361310081196,62.88075724852378,65.90756083645769,0
2024-01-02 05:00:00,297.0830625020672,50.14508999262654,98.33732948557012,0
2024-01-02 06:00:00,293.98293387770605,37.63864203969538,116.46846369124623,0
2024-01-02 07:00:00,318.52278184508936,62.543383607573396,118.9126685513526,0
2024-01-02 08:00:00,299.8650277526207,57.31000626785482,110.08730131436819,0
2024-01-02 09:00:00,289.422890710441,55.384349572164524,89.1740181007552,0
2024-01-02 10:00:00,308.2254491210319,57.157342411708406,60.46356862104819,0
2024-01-02 11:00:00,287.7915635002898,73.9436190058245,90.0956980399053,0
2024-01-02 12:00:00,302.08863595004755,71.85094895036113,93.91310257892097,1
2024-01-02 13:00:00,280.4032987612022,43.13284656996704,93.74142065619972,0
2024-01-02 14:00:00,286.7181395110157,66.23884992811152,112.3711271395585,1
2024-01-02 15:00:00,301.96861235869125,53.831681897589,139.71352822029678,1
2024-01-02 16:00:00,307.3846657999541,54.99095816137749,102.47058403682186,0
2024-01-02 17:00:00,301.71368281189973,33.07729168356671,95.66536421687077,0
2024-01-02 18:00:00,298.8435171761176,48.29614234611804,94.81556373991815,0
2024-01-02 19:00:00,296.9889630441071,41.87176409663435,102.48769533815428,0
2024-01-02 20:00:00,285.21478009632574,58.28058814893309,83.43412479303203,0
2024-01-02 21:00:00,292.8015579160529,60.710805004028046,102.4039711749211,0
2024-01-02 22:00:00,295.39361229040213,29.255136489836886,109.016246726636,0
2024-01-02 23:00:00,310.57122226218917,49.7796513599573,104.19372127148976,0
2024-01-03 00:00:00,303.4361828956846,61.21861504794252,109.15083868009563,0
2024-01-03 01:00:00,282.36959844637266,48.13321037686555,108.6749521869707,0
